Player,90s,Goals,SoT%,npxG,Pass Cmp%,xA,Passes into Pen Box,Prog Passes,SCA90,Att Pen Touches,Drib Succ%,Prog Carries,Press Success%
Sterling,27.1,0.5,41.9,0.5,82.9,0.2,1.7,2.8,3.8,9.2,48.8,8.4,30.0
Pulisic,17.6,0.4,39.1,0.4,79.2,0.1,1.5,3.0,3.4,6.4,48.3,8.6,28.9
